Ledgercode,Ledgername
10500,İŞTİRAKLER VE BAĞLI ORTAKLIKLAR
10500,ŞUBE DIŞI (OFF- SITE) ATM KASASI
105000,ÖZKAYNAKLARDAN
105000,ŞUBE DIŞI (OFF- SITE) ATM ÇEKİLEN HESABI
105002,KATILMA HESAPLARINDAN
105002,ŞUBE DIŞI (OFF- SITE) ATM BOZUK PARA HESABI
105003,KATILMA HESAPLARI ÖZEL FON HESAPLARINDAN
105003,ŞUBE DIŞI (OFF- SITE)  RECYCLE ATM HESABI
10700,RÜCU EDİLEBİLİR
10700,XTM KASA HESABI TL
10701,RÜCU EDİLEMEZ
10701,XTM Kasa Hesabı TL
11701,XTM Kasa Hesabı YP
11701,İŞTİRAKLER VE BAĞLI ORTAKLIKLAR
11703,XTM Kasa Hesabı YP
11703,İŞTİRAKLER VE BAĞLI ORTAKLIKLAR KEFALETİYLE
21000,VADESİZ SERBEST HESAP
21000,ÖZKAYNAKLARDAN
21001,CARİ HESAPLARDAN
21001,TCMB ZORUNLU KARŞILIK YP SERBEST CARİ HESABI % 3
21002,HAVALE KUVERTÜRLERİ
21002,KATILMA HESAPLARINDAN
21003,KATILMA HESAPLARI ÖZEL FON HAVUZLARINDAN
21003,ND TCMB  YP VD HESAP
21004,KATILMA HESAPLARI YATIRIM VEKÂLETİ HAVUZLARINDAN
21004,TCMB TEMİNAT DEPO HESABI
22000,KAMU MEVDUAT BANKALARI
22000,KÂR PAYI TAHAKKUKLARI
22001,KÂR PAYI REESKONTLARI
22001,ÖZEL MEVDUAT BANKALARI
22002,KREDİ KOMİSYON VE DİĞER GELİR TAHAKKUKLARI
22002,YABANCI MEVDUAT BANKALARI
22003,KREDİ KOMİSYON VE DİĞER GELİR REESKONTLARI
22003,ÖZEL KANUNLARINA GÖRE MEVDUAT KABULÜNE YETKİLİ KURULUŞLAR
22004,DÖVİZE ENDEKSLİ KREDİLER ANAPARA KUR ARTIŞ TAHAKKUKLARI
22004,KATILIM BANKALARI
